# n a m e " " t y p e " " s t a r t " " e n d " " l e n g t h " " e n t r o p y
DYS635 STR 14379564 14379655 91 0.1854894374741238
DYS437 STR 14466994 14467057 63 0.25500670050949914
DYS439 STR 14515312 14515363 51 0.26613853598730897
DYS389B.2 STR 14612242 14612310 68 0.18156779274866844
DYS442 STR 14761103 14761168 65 0.21599013961284652
DYS441 STR 14981831 14981908 77 0.18677950325221077
DYS447 STR 15278740 15278854 114 0.1666686973112315
DYS390 STR 17274947 17275042 95 0.47921111138107353
DYS717 STR 17313245 17313324 79 0.21862125448934208
DYS643 STR 17426012 17426066 54 0.47940980854038995
DYS534 STR 18392976 18393035 59 0.18686266273036845
DYS607 STR 18414382 18414457 75 0.22518991422511594
GATA-A10 STR 18718879 18718938 59 0.2621277433923299
DYS444 STR 19226192 19226247 55 0.2013046348539316
DYS385a/b STR 20842518 20842573 55 0.21230785185375534
DYS549 STR 21520224 21520275 51 0.22319158658933982
DYS452 STR 21620478 21620632 154 0.16256194479545202
DYS714 STR 22147731 22147865 134 0.19445463972830565
DYS557 STR 23234712 23234775 63 0.23862364132743955
DYS448.1 STR 24365070 24365136 66 0.1778005327890412
DYS589 STR 24485693 24485757 64 0.2202235490793036
DYS464a/b/c/d STR 27087611 27087670 59 0.0
DYS446 STR 3131458 3131527 69 0.23941108219957927
DYS456 STR 4270960 4271019 59 0.14639432779843212
DYS570 STR 6861231 6861298 67 0.24553109353174832
DYS576 STR 7053359 7053426 67 0.1969750374125456
DYS463 STR 7643509 7643628 119 0.1913417230874274
DYS520 STR 7730432 7730511 79 0.1822128256377119
DYS458 STR 7867880 7867943 63 0.15967627290638678
DYS449.1 STR 8218014 8218074 60 0.25306561345100265
DYS449.2 STR 8218124 8218179 55 0.22522839995210364
DYS481 STR 8426378 8426443 65 0.15192394404737786
DYS19/DYS394 STR 9521989 9522052 63 0.21263635668964304
uc022coa.1 Protein-exon 15471646 15471866 220 0.1813870942438652
uc022cks.2 Protein-exon 15417278 15417427 149 0.27975159666837573
uc010nwq.1 Protein-exon 9450029 9450143 114 0.0
uc004fwq.3 Protein-exon 27003422 27003494 72 0.0
uc022coo.1 Protein-exon 25372490 25372637 147 0.21619687813105837
uc004fwq.3 Protein-exon 26979966 26980276 310 0.0
uc004fwq.3 Protein-exon 27034680 27034752 72 0.0
uc022cks.2 Protein-exon 15362881 15363067 186 0.2689337309607711
uc022cks.2 Protein-exon 15481135 15481229 94 0.2259572114332872
uc022cks.2 Protein-exon 15417917 15417992 75 0.1637403256149385
uc011nal.2 Protein-exon 1481624 1481747 123 0.1955986074981236
uc011nal.2 Protein-exon 1521640 1521870 230 0.19371726145640525
uc010nxl.1 Protein-exon 25375744 25375816 72 0.3707746261671002
uc022cmz.1 Protein-exon 15478146 15478273 127 0.2106847570262494
uc022cmb.1 Protein-exon 15582000 15582109 109 0.2151333145702444
uc022cmz.1 Protein-exon 15447442 15448215 773 0.2100956453889185
uc011nal.2 Protein-exon 1487874 1488007 133 0.2168814029246868
uc011nal.2 Protein-exon 1496626 1497014 388 0.2048013324233493
uc011nal.2 Protein-exon 1472031 1472382 351 0.2112049831547015
uc022cmb.1 Protein-exon 15526614 15526673 59 0.1790846101757623
uc011nal.2 Protein-exon 1486865 1487009 144 0.21828724662908378
uc022cmz.1 Protein-exon 15508797 15508852 55 0.2103667647952588
uc022cks.2 Protein-exon 15469756 15469849 93 0.2039356237579222
uc022cmz.1 Protein-exon 15469756 15469849 93 0.2039356237579222
uc022cks.2 Protein-exon 15582000 15582109 109 0.2151333145702444
uc022coo.1 Protein-exon 25431584 25431683 99 0.2957652355582013
uc022coo.1 Protein-exon 25365580 25365890 310 0.20195415903649958
uc022coo.1 Protein-exon 25382974 25383046 72 0.21958053863829025
uc022coo.1 Protein-exon 25402064 25402136 72 0.17498884538024728
uc022cks.2 Protein-exon 15372157 15372284 127 0.23325516440199168
uc010nwq.1 Protein-exon 9448329 9448480 151 0.0
uc022cks.2 Protein-exon 15410836 15411024 188 0.20983565691822506
uc022cks.2 Protein-exon 15472309 15472408 99 0.21960502513451582
