# n a m e " " t y p e " " s t a r t " " e n d " " l e n g t h " " e n t r o p y
DYS635 STR 14379564 14379655 91 0.4229160210621264
DYS437 STR 14466994 14467057 63 0.3744569139261916
DYS439 STR 14515312 14515363 51 0.4512496046102258
DYS389B.2 STR 14612242 14612310 68 0.35815882694466794
DYS442 STR 14761103 14761168 65 0.3994886260131549
DYS441 STR 14981831 14981908 77 0.45545425257949557
DYS447 STR 15278740 15278854 114 0.5705014553900626
DYS390 STR 17274947 17275042 95 0.4368788293795034
DYS717 STR 17313245 17313324 79 0.36539609004412477
DYS643 STR 17426012 17426066 54 0.5120678703362371
DYS534 STR 18392976 18393035 59 0.573819094507726
DYS607 STR 18414382 18414457 75 0.49183742180640144
GATA-A10 STR 18718879 18718938 59 0.4619769892445681
DYS444 STR 19226192 19226247 55 0.39733394827613644
DYS385a/b STR 20842518 20842573 55 0.589579764102504
DYS549 STR 21520224 21520275 51 0.45908430529852257
DYS452 STR 21620478 21620632 154 0.3935457530479366
DYS714 STR 22147731 22147865 134 0.5807519899956056
DYS557 STR 23234712 23234775 63 0.5921479188759462
DYS448.1 STR 24365070 24365136 66 0.46410172502475655
DYS589 STR 24485693 24485757 64 0.6683634183489506
DYS464a/b/c/d STR 27087611 27087670 59 0.4299001802823539
DYS446 STR 3131458 3131527 69 0.5255891013250774
DYS456 STR 4270960 4271019 59 0.5015565614195041
DYS570 STR 6861231 6861298 67 0.5511992971137533
DYS576 STR 7053359 7053426 67 0.48516773308284156
DYS463 STR 7643509 7643628 119 0.5010666176284532
DYS520 STR 7730432 7730511 79 0.44750806834619583
DYS458 STR 7867880 7867943 63 0.5548152080818181
DYS449.1 STR 8218014 8218074 60 0.6224835271375655
DYS449.2 STR 8218124 8218179 55 0.6189208316635041
DYS481 STR 8426378 8426443 65 0.4459987884754858
DYS19/DYS394 STR 9521989 9522052 63 0.41144741556381176
uc004fwj.4 Protein-exon 26915045 26915144 99 0.1603516259927313
uc004fvt.3 Protein-exon 25374051 25374115 64 0.17035098507032312
uc004fqo.3 Protein-exon 5369097 5369296 199 0.20229198887222435
uc004fps.4 Protein-exon 2368857 2369015 158 0.2761109168501405
uc004fps.4 Protein-exon 2293237 2293345 108 0.23047672133636393
uc011nas.1 Protein-exon 16635384 16635452 68 0.2235246595321012
uc004fvt.3 Protein-exon 25365580 25365890 310 0.2209059530805926
uc004fwj.4 Protein-exon 26918079 26918151 72 0.20267187171881043
uc010nvy.3 Protein-exon 1711695 1711974 279 0.19892728521007458
uc011nas.1 Protein-exon 16952292 16955848 3556 0.212241741376356
uc004fps.4 Protein-exon 2111063 2111271 208 0.23160238775262842
uc010nvy.3 Protein-exon 1693161 1693291 130 0.1927606845576597
uc004fps.4 Protein-exon 2134780 2134988 208 0.15981618145078064
uc010nvy.3 Protein-exon 1702042 1702183 141 0.19488993990345466
uc004fte.2 Protein-exon 16936067 16936253 186 0.19241197027522944
uc011nas.1 Protein-exon 16733888 16734471 583 0.17275023503657289
uc004frk.2 Protein-exon 8662901 8662985 84 0.24177054786336835
uc011nas.1 Protein-exon 16936067 16936253 186 0.19241197027522944
uc010nvy.3 Protein-exon 1692031 1692206 175 0.23295527158089646
uc011nas.1 Protein-exon 16831338 16831398 60 0.1818962975845564
uc004fwj.4 Protein-exon 26920496 26920695 199 0.2360929306798675
uc004fqn.1 Protein-exon 4924130 4925500 1370 0.21592668710749263
uc004fte.2 Protein-exon 16834996 16835149 153 0.18227932406156735
uc010nvy.3 Protein-exon 1705330 1705453 123 0.1448585352054717
uc004frk.2 Protein-exon 8651358 8651447 89 0.2119081501250271
uc004fqo.3 Protein-exon 4966255 4968748 2493 0.18524487282906515
uc010nvy.3 Protein-exon 1698713 1698832 119 0.17685017056008423
uc004fps.4 Protein-exon 2276785 2276854 69 0.2541797464366521
uc004fvt.3 Protein-exon 25373563 25373615 52 0.21773056686198675
uc004fvt.3 Protein-exon 25374204 25374344 140 0.1722346150501367
uc004fqn.1 Protein-exon 4972384 4973485 1101 0.2171460444142393
uc004ftz.1 Protein-exon 21152525 21154705 2180 0.21981773299118756
uc004fwj.4 Protein-exon 26909215 26911072 1857 0.21233917573532315
